otel_adi,yorum,puan,yorum_tarihi,konum,konaklama_tarihi,musteri_toplam_yorum_sayisi,musteri_kademe,seyahat_tipi,oda_tipi
Green Bay Resort & Spa,"We arrived at 21:08 om a Saturday. The drive in was dark, we couldnt see anything around and we got to the reception asking for directions to a resturant as the kids and us where hungry. It closed at 2100 and to my suprise they wouldnt accomodate arrivals 8 mins after closing...... not a great start. But the guy at reception ordered a pizza for the kids and we went to the room. Again... its dark outside we didnt see much. The balcony door on the ground floor room was broken, and my 7 year old was so concerned by this, as were we.... not impressed at this stage. The room was spacious but if honest, it was smelly. Like faint sourage hidden by lemon cleaner.. we considered just spending the night and just getting out the following morning. After a sleep and being woken up by the german Good Morning song.. ""if you know you know"" we went for breakfast. Basic. Not great. But we are now fed. Off to reception re the door..... fixed immediatly. Was simply a broken spring in the lock. Then we started to look around... the room had a sea view that we didnt pay for. Just given to us as it was a better available room, 100m from the sea and 150 from the slides which my son loved. Lunch was then served and it had a lot more to offer and dinner was better again. Our trip stared so ""Meh/yuck"" and became one of the coolest places we had stayed in a while. The sourage disapated after day 1, faintly returnung from time to time, rarely if honest. The real winner here is the staff. Unreal. There is a Turkish girl running the kids clud and she is just unreal. The kids adored her. Super friendly and barely a word of english but it didnt matter. Super friendly and seemed to be involved in all thinhs entertainment and again, kids loved her, often telling her that :). The staff at the 4.8 bar are also great. All the staff really. Super friendly and great with kids. We went to bodrum town (1200 lira including tip in Taxi) and we seen the view as we drove out,,, we where robbed of this view on arival. If we seen this as we arrived we would habe been so excited. But we arrived in darkness. The location is remote and AMAZING, surrounded by hills ans sea! no walking to a store, and we didnt need to. For example. I needed a power adaptor for an irish plug. The little hotel shop didnt have one, so they called a guy who was due to start a shift and he said he has a lot of USB plugs and would take one to me.. no other reason other than to be helpful. . Ok so the important stuff.. The hotel is more like a 3 to 4 star Airport to hotel - 1k lira for 4 ppl. Would higly recommend a trip to Bodrum - 1.2k lira each way. ARKA Pizza was unreal there. Some places are robbery. Busy during the day but very beautiful at night Food is ok at Green Bay, Its good. But a nice caffareria rarther than a resturant, ye get what ye pay for. We paid 2300 from Dublin excluding transfers for all inclusive. Beer was unlimited but the cocktails are not great. All the juice for these or for kids dr",8.0,"Posted October 19, 2025",,Stayed in October 2025,,,,
Green Bay Resort & Spa,"we had a good holiday at this resort. us and the kids we like to have fun and make the most of any time spent togheter. i will start by saying this hotel is good, not a 5star one as advertised a solid 3-4 stars at most. it is very outdated and it meeds a very deep clean. the room was good beds done daily and towels changed however during our stay the floors were not swept or cleaned. the bathrooms had mould, rust and poor maintainance ( we did not complained as we did not spend much time in the room. the food was varied however similar thruout our stay and by day seven some even had a off taste. the snack bar had nughets( never fresh) but enjoyed the fresh pizza and burgers. the pools needed a heavy clean the red rug had moss growing under it and on the drainage had visible mould and algae in it. we enjoyed the slides though. the animation seemed to be arround the adult pool, nothing for the pool where the kids were sent ( no activity the full stay) the bars the staff was nice but the glases they served were dirty i noticed even them did not drunk from them they had to wash and pour boiling water on them. although is catering for international guests they seemed to know only rusian and assumed we were also rusians but very poor english skils. the shop inside below the lobby is making the price as they go along they always ready to skin you for a water pistol that is usually less than £1 they charged £15, and second time made a price like £17 but i had to remind them they sold me another one earlier for a different price. the shows were nice in the evening however nothing realy traditional or authentic. on the independence day on the 30 august they had brazilian dancers when should have been more approrpiate something authentic and traditional. they have 2 pontoons however the main one close to the hotel i came to realise was for hire. and we were denied access ( the meaning all inclusive should cover all services in a 5star hotel ). never mind this we had fun arround the hotel with trips we booked ( the reception staff could not advise on what was available outside the hotel or did not understand me). i can not recomend this hotel as i stayed better in a 3star ones before they need some big investments done as the location is brilliant.",4.0,"Posted September 1, 2025",,Stayed in September 2025,,,Family,
Green Bay Resort & Spa,"The resort was really beautiful with various activities. Dining options were really good. Nothing to complain about really. However, stay away from the photographers if you are not ready for expensive drama",10.0,"Posted October 7, 2025",,Stayed in October 2025,,,Traveling with friends,
Green Bay Resort & Spa,"The resort provides top-notch services for her guests and I would recommend the all inclusive service to anyone who wants to stay. However, there is a limited transportation to the city and drivers tend to exploit foreigners. In addition, the laundry service of the resort is very expensive and there are no pressing irons or ironing boards in the rooms.",10.0,"Posted October 5, 2025",,Stayed in October 2025,,,,
Green Bay Resort & Spa,WARNING - DO NOT STAY HERE - THIEVES WORK IN THIE HOTEL. We left our apple headphones in our suitcase in the lobby on check out date. The suitcases are kept in a place hidden from cameras. We went to get them out before we left and they were gone. Luckily we were linked up to find my devices and were able to play the ring tone on them. We could hear they were in the back office in reception. The staff all panicked and had guilty written all over their faces. Horrified and disgusted.,2.0,"Posted August 25, 2025",,Stayed in August 2025,,,,
Green Bay Resort & Spa,"Just come back home with the best experience ever 10 nights and 11 amazing days,first time and first hotel that I would be happy to come back more and more and more Start from and amazing reception staff very friendly and very happy to help you any time Our flight was late and we had it to do check in early, and this amazing staff helped us with a room for late check in Rooms always nice and clean, very lovely ladies always happy faces Room for a family of 4 absolutely lovely very comfortable beds Continue with the foods, 1010 Bars open 24/24 with lots of different drinks best cocktails Who likes swimming pools , 3 different ones for all your family kids adults And the best for me and my family what we enjoy the most was the most beautiful sea we ever sow Thank you Green Bay happy to come back every summer",10.0,"Posted August 10, 2025",,Stayed in August 2025,,,,
Green Bay Resort & Spa,"Just returned from a week at the Green Bay resort and honestly cannot fault it! We travelled as a family of 4, children aged 11 and 8 and was slightly hesitant as had seen that the hotel was not very popular with the British - really needn't of worried!! Everyone we met from staff to guests were welcoming. My children had THE best time and made friends from various countries. The hotel grounds and rooms are spotless, the bars are well stocked and bar staff will keep you entertained 😀 especially the guys at the pool bar and 4.8 bar! Food is plentiful and delicious, 4 fresh grilled items at least each night (1 fish, 3 meat) as well as an array of beautifully prepared dishes, salads, meats and deserts inside. Kids loved the snack bar for burgers and chips, nuggets etc. Special shout out to Nehir from the kids club who made my daughter feel so special, welcomed and loved, she is a diamond 💎 Evening entertainment was of good standard too! We booked a day boat trip through the on site water sports hub. Amazing day out. Well priced, only 16 people on the boat and food was delicious. The boys also done jet skis and another water inflatable, again, well priced. Shout out to the guys working on the water spots - so friendly and always make you laugh. All in all a great week away and would not hesitate to return.",8.0,"Posted July 31, 2025",,Stayed in July 2025,,,,
Green Bay Resort & Spa,"Such a beautiful hotel set in a beautiful location- food was outstanding but most of all the customer service manager Pırıl was amazing. She was professional, friendly and made sure all our needs were met.",10.0,"Posted July 26, 2025",,Stayed in July 2025,,,,
Green Bay Resort & Spa,"We decided to spend 5 days at the Green Bay Resort and Spa hotel in Bodrum, but I think it was a big mistake. Everyone should read the following and be cautious if they are planning to stay at this hotel: Mosquitoes will ruin your sleep. Although the rooms are sprayed, it’s not enough. The beach is rocky — make sure to bring water shoes. The sea water is cold, so you won’t fully enjoy swimming. The pool is often dirty. In the two-story houses, the walls and floors are very thin — you’ll hear all the noise from the neighbors. There is practically no Wi-Fi — you’ll need mobile data/roaming. Food is very good. Very thanks to Mehmet Zeki restaurant chef. Staff is very good. Service is very good",2.0,"Posted June 28, 2025",,Stayed in June 2025,,,,
Green Bay Resort & Spa,"Pros: Staff are great especially at the snack bar Beautiful scenery Snack bars chicken wraps are great Chocolate waffles daily are lush Lobby bar I requested blue lagoon cocktail and was really nice All inclusive drinks went on for hours past 12 at snack bar Beautiful beach and lots of places to relax Russian women Cons: Rooms a little run down and small balcony On site shop is a rip off (15 min walk to closest shop is worth it) Cocktail selection is small Breakfast options are not great Middle of no where Not many english mostly Russian (could be a pro aswell aha) Have to pay £8 for a hour on pool (billiards) Overall, for the price it's a Beautiful hotel definitely worth a visit",10.0,"Posted June 11, 2025",,Stayed in June 2025,,,,
Green Bay Resort & Spa,Keep it simple NEGATIVES Animation team for adults only. So no kids can do the daytime activities (main reason we would not return) Staff barely speak any English. Everything was hard work from reception to getting the correct drinks The little kids water park is only open twice a day for 2 hours. Not sure why as there are no life guards there so should be on constantly Same with the main water slides however there are lifeguards there so possibly why not open all the time Food overall I enjoyed but very similar day to day. I'm not a fussy eater but feel like some people especially English would struggle The online shop rips you off and makes prices up when they know you are English. £20 for 4 bags of crisp Rooms small with minimal storage ( no iron atall in hotel) POSITIVES lovely on the eye Nice private beach ( need water shoes) Very clean Drinks are good for all inclusive I would not return and if your English I would advise not going. Vast majority of guest seem to be Russian,6.0,"Posted June 3, 2025",,Stayed in June 2025,,,,
Green Bay Resort & Spa,"We stayed here for a few days after Lufthansa cancelled our flights and we had to go 3 days earlier. Given the price paid I was very pleased with it here, the food and drink, whilst nothing fancy, there was always something for everyone. The waffle stall was a highlight. Check-in process was a little messy primarily due to language barrier, a fair chunk of the staff spoke little English. We arrived at midday ahead of a 2pm check in but room wasn’t ready. However even after 2pm they said the room wasn’t ready before “finding” the key which had been there for hours. Very annoying given we had very tired kids and really wanted a nap. Pools were fine, generally the service was good, room was cleaned daily, wifi worked well, mini fridge restocked daily, nice waterslides, good lifeguards. I’d happily stay here again but keep in mind the high percentage of Russian guests who remain by a distance the rudest nationality on the planet.",8.0,"Posted May 30, 2025",,Stayed in May 2025,,,Traveling with friends,
Green Bay Resort & Spa,"I have had very good holidays in Green Bay Resort & SPA. The hotel sorrounded by trees and mountains is good place to relax and hove good time by the sea or pool. I was traveling alone with tree years old toddler so I would try to describe how we had it there. I think it is good place for families with kids or juist adulds as there are facilities like childrens playground, waterpark for small kids and for bigger ones. There were a pool for adults as well with good animation program for them. There were indoor playgraund as well and very sweet and always smiling animation team girl Gamze (special thanks to her). Animation team was doing really great job there: program for kids every evening, pilates, yoga, pool gymnastic, football ect. Everybody work at this hotel looks very friendly and try to help or answer questions even many of them don't speak other language than Turkish (some speak English or Russian). We have got garden view room, which was very clean with white bedsheets, soft towels, soda and water in the fridge, tea and instant coffee, teapot. We even found such small but important details as sewing set, slippers, shoe polish, shoe horn. Drinking water was filled every day, room cleaning also was every day. All the bathroom facilities were working, just the water was cold sometimes (maybe need to wait longer for warm water), but it was not a big problem for me. t . You can try sauna (included to the price) and Turkish hamam with massage for extra fee. Deliciuos yogurts for breakfast, variuos preparations of eggs, baked good, sausages, fruits, cheeses ect. I missed porridge for breakfast as my toddler like it best. You can find meat or vegan dishes for luch and dinner with variuos salats, olives and deserts. Water, sweet drinks, local beer, wine and coctails are also included. What I liked best that the restaurant has a terrace with sea view close to the sea shore and I could enjoy my food and look at the sea and palms :) When the main restaurant is closed there is big choice of junk food: fried potatoes, pizza, sweets, kebab, rice, noodes, gozzleme, ice cream ect. Threre is just 25 km from Bodrum so if get bored you can take bus or taxi to the city but we were busy at hotel area almost all the time as it was good organized with animation program and playgrounds. Just one day trip to Bodrum was an adventure and shopping day (there are just some beach accesories shop at hotel). I like to stay at a new place every time on my holidays, but if I ever come back to Bodrum I would choose Green Bay Resort and SPA.",10.0,"Posted May 23, 2025",,Stayed in May 2025,,,,
Green Bay Resort & Spa,"The hotel is in a lovely bay, the staff are friendly and helpful. But it’s definitely not a 5*. I think the value for money is good as we didn’t pay too much for it. But it shouldn’t be a 5* rating. The food was bland, same for lunch and dinner and beige. Didn’t cater well for any allergies or dietary requirements. Pools are great, albeit we only used the adult only one. Music can be a bit loud but we didn’t mind too much. Room was small but clean and comfy bed. Shower flooded the bathroom after every use. Drinks were very average. We had a nice week and the water sports we did were great (paid extra). But if you go there expecting 5* quality you’ll be disappointed.",8.0,"Posted May 22, 2025",,Stayed in May 2025,,,Traveling with friends,
Green Bay Resort & Spa,"The beautifull place with full care from all staff. Delicious and varied food and drinks. Especially Ege from 4,8 Feet Bar is a full professionalist. He takes care of every guest at the same, highest level. We are very pleased with the quality of his service. Thanks for all.",10.0,"Posted May 20, 2025",,Stayed in May 2025,,,,
Green Bay Resort & Spa,"Hotel is not a 5 star quality, but the staff services are very good. No luxury at any part of the hotel but it is clean and it has everything you need for a comfortable stay. Food is plentiful and tasty but not many options available you would expect from 5* hotel in Turkey. The beach is very good, but the sun-beds are not comfortable and do not have mattresses. Hotel is very isolated (25+km from Bodrum) and there are no any shops, bars or restaurants nearby but it is surrounded by trees and it has beautiful views of the bay. Staff are plentiful, very helpful and always willing to help at everything but they do not speak much of english. Overall this is 4 star hotel with very good staff that will make your stay there pleasant and enjoyable. If you are looking for luxury, you will be disappointed but otherwise a decent place for a short break!",8.0,"Posted May 16, 2025",,Stayed in May 2025,,,Couple,
Green Bay Resort & Spa,"Ok so i arrived at the hotel and the reception was good they spoke english and the helper was very nice and i appreciqted his help carrying our luggages to the room , but when we arrived to the room it was right infront of the kids pool so very noisy and the room smelled like drains and piss im not kidding and our privacy felt invaded we couldnt open the curtains at all , the bidet in the toilet is badly placed and soaked the whole floor , we slept one night in the room 2104 so if you get that row i reco.mend you upgrade. We tols the manager our problems and we were gonna stay here for 4 days however they accepted to refund us 2 nights which was great so we could book a flight the next day and we upgraded to the room 1365 whichh is so much better it smells great not too fancy tho but acceptable , another complaint was the adults pool which was full of kids supposedly the people did not read the 16+ sign , the buffet was probably the only good thing i liked the buffet you can tell theres a professional pastry chef in there and no smell in the restaurant which is also great but overall its a kids friendly place so we made the mistake to book with them as we wanted to relax me my mom and my sister . Also we arrived the 5 pm to take beach towels and they said there isnt any so we should come back at 6 to take some although the towel stand closes at 6 30. the management was nice and not rude at all and were understanding of our situation. Would recommend if you have kids otherwise book another",6.0,"Posted July 27, 2024",,Stayed in July 2024,,,Family,
Green Bay Resort & Spa,"This hotel is heavily infested with bedbugs. I am not the only one bitten, i saw other people at the beach who also had the same bitemarks. The hotels reaction was quite poor, they changed our room and apologized, however, the cleaning of the rooms was not nearly up to standard. To set aside that the hotel does not deserve 5* rating, the sanitary conditions are not safe. Me, my both kids and my husband have bitemarks.",2.0,"Posted September 2, 2024",,Stayed in September 2024,,,,
Green Bay Resort & Spa,"I recently spent a week at Green Bay Resort and it was fantastic. The food was varied, delicious, and best of all, there were no long waiting lines. The resort had many open and fully functional bars offering everything you could ask for, including peanuts, chips, and unlimited ice cream, which made my children incredibly happy. The tasty waffles were an added bonus! The hotel service was exceptional. The waiters went above and beyond, happily serving us and even bringing food and beverages directly to our table, which was more than we expected. The pools and rooms were clean, and there were many different activities by the animation team. Since we had a small baby with us, all staff were very kind and helpful towards us, made us feel special.",10.0,"Posted August 26, 2024",,Stayed in August 2024,,,Family,
Green Bay Resort & Spa,"Family rooms section is located in 10 meters from the disco bar. The terrible noise didn’t stop even after the complaint to the reception. Impossible to sleep. The food is mediocre and the beach is dirty. The room was ok, with new furniture. The children pool area doesn’t have any covers from the sun.",2.0,"Posted August 15, 2024",,Stayed in August 2024,,,Family,
Green Bay Resort & Spa,"3-star hotel. I didn't believe the negative comments and I was wrong. I came today with my family on vacation to this hotel for 11 nights.. The entrance to the hotel looks like a parking lot and not the entrance to a 5-star hotel. No one speaks English at the reception.. The offer of drinks and food does not meet the standard of a 5-star hotel, certainly not the ""ultimate AI"" service. The wardrobe in the room is enough for 1 person and not for 4. You get transparent slippers, but for one-time use. There are no bathroom cosmetics in the toilet, only a shampoo dispenser .The chairs in the restaurant are falling apart, the hygiene is bad, everything is dirty. The food offer is like in a bad express restaurant. The photos of the hotel give a wrong picture of the real situation, which is a disaster. Count on a huge number of flies in all places where you have lunch, including in the lobby I will request a change of hotel from the agency through which I came, if possible. I have been to Turkey more than 20 times on vacation, and because of such hotels and services, I will probably change my destination. It is unfortunate that in response to such comments, the hotel sends circular emails and does nothing solves them. There is nothing here of the Turkish hospitality and kindness that we are all used to.",6.0,"Posted June 22, 2024",,Stayed in June 2024,,,Family,
Green Bay Resort & Spa,"Thought long about the rating I was going to give this hotel in my review. It all started with a 5, dropped to 2 in between and finally decided to give it a 3. First of all, our tour agency did not mention any word about the hotel closing while we bought the trip, so we found out on the third day there that it will be closing on our last day. Spent there sixteen days at mid-October. In the first six days everything was good, food variety was excellent, food was always restocked during meals, there were enough drink selections and so on, just as you would expect from an ultra all-inclusive type. About ten days before closing, the closing procedures began. We were in the middle of packing, so not really relaxing mood. For example, there was no rum left at the hotel anymore, ten days more to go and that was finished for the season. Also the ice cream fridge was gone, two bars closed and most beach chairs moved away. Main restaurant food variety and amounts too reduced, sometimes food was cold. Day by day the spaces between cake platters got wider at the cake stand. In the last days the white wine, gin and vodka were running out too, the bartenders were searching from other bars and back to see if there were some leftover bottles, sometimes they found some, but sometimes not. Actually the staff was friendly, sometimes tired from the season, but still caring. Some entertainment was left, like darts and rifle shooting, the guy was actually enthusiastic and wanted to arrange the games. The hotel is really remote, there is about 4km to the next small town along a narrow road, most probably with dogs, as seen from the taxi window. The yellow taxi prices have increased a lot, it was 10TL to sit in and about 30TL for the kilometer fee, so about 700TL to Bodrum one way. What was good about the hotel, were the evening shows and live bands, which we had the opportunity to see in the first part of the trip, later the shows were finished as well. Good quality and level of shows and bands. The DJ/sound technician did a very good job too. We also went on Jimmy's boat. If you like to have many swimming breaks at different places along the nearby coast and just chill, then it is the boat trip for you. The boat crew was very friendly and provided a wonderful meal with a kind atmosphere. On the hotel premises there were many dogs, cats and a few puppies, but they did not bother us, it was fun that they were there. The room and other areas were cleaned properly and no complaints about that. But no wine and fruit in room for birthday, as seen on other quests' photos on Tripadvisor. It was sweet of the hotel to provide food from the snack bar after lunch until the evening and some drinks that they had left on the final closing day.",6.0,"Posted October 30, 2023",,Stayed in October 2023,,,Couple,
Green Bay Resort & Spa,"A great hotel for a family holiday. Close to everything - the beach, swimming pools. Delicious food. The service in bars with drinks is fantastic. Bartender Suleyman perfectly manages guest service and takes care of every detail. I highly recommend it!",10.0,"Posted June 6, 2024",,Stayed in June 2024,,,Family,
Green Bay Resort & Spa,Good resort Friendly staff Mr safak is very helpful staff Thanks for all staff,8.0,"Posted July 18, 2024",,Stayed in July 2024,,,Family,
Green Bay Resort & Spa,Beautiful place for peaceful and enjoyable vacation. Hotel is a litle bit old but the atmosphere and people working in it are the best. Always helping and smiling. Light wind at the beach and work september weather are beautiful,10.0,"Posted September 20, 2023",,Stayed in September 2023,,,Family,
Green Bay Resort & Spa,Daha öncede tercih ettiğim green by otel bu yıl inanılmaz şaşırttı beni bar ve restaurant ekibi o kadar güler yüzlü ve ilgili ki kendimizi tam anlamıyla evimizde hissettik ayırı etten bu ekibin çocuklarıma yaklaşımı da çok memnun etti bizi yemeklerin lezzeti çok güzeldi genel anlamda önce ki yıllara göre çok daha memnun ve mutlu ayrıldık. Bu yaz ikinci tatilimiz de tekrar görüşmek üzere herşey için teşekkürler.,10.0,"Posted May 7, 2024",,Stayed in May 2024,,,,
Green Bay Resort & Spa,"Most boring holiday we've had, they were literally shutting down around us. Limited drinks, no a la carte as shut, no watersports, no entertainment, no atmosphere. Staff at the pool bar, waffle bar snack bar were nice and helpful. Rooms are very dated and small, tiny balconies with 2 chairs. Waterslide only on a few hrs a day. Cats and dogs everywhere Inc tables Location is very isolated The hotel itself is lovely but I think it'd be better when full. Was only around 50 people max all week DON'T GO MID OCTOBER",6.0,"Posted October 23, 2023",,Stayed in October 2023,,,Family,
Green Bay Resort & Spa,"Wow wow wow! What an amazing experience staying here at the Crystal Green Bay resort. We have been blown away by the custom, the place is absolutely unreal. Animation team especially, always going out there way to engage with you, even working such long days. Food is okay, normal all inclusive stuff but go to the grills outside for dinner as they always have something special there, special shout out to Ishmail and Damla for making the experience unforgettable. Also thanks to the lovely staff behind the bar and their special cocktails! (Ask for the specials when you order as they make their own version depending on who you ask)",10.0,"Posted September 20, 2023",,Stayed in September 2023,,,Couple,
Green Bay Resort & Spa,"We booked this holiday a year before and were very excited to go to our lovely 5* hotel. When we arrived we have been greeted by the porter who took our suitcases to the room. Reception staff were polite but their English wasn’t the best. We paid extra for family room with garden view, when we arrived the room was ok but nothing special (defo not 5*), not much space to put the clothes, luckily we had spare bed so we kept most of our clothes in the suitcases on the bed. Balcony was tiny, 2 chairs and you could not walk to it. View we had was “amazing” car park and some type of gas container in the garden. During our stay the house keeping knock at the door and enter straight away every morning at 8am and woke up our son. You would love to enjoy some sleep when on hols but not possible. Room was only hoovered and bed was made and towels changed. For our 2 weeks stay not once they cleaned the bathroom or change the beds. Pool were nice and clean but sun loungers were old and damaged with tiny old beach towels from the hotel which didn’t even cover half of the bed. Very slippery around the pool, many people was slipping around it. Till my sister in law accident around the kids pool area there was no warning signs around it. Lifeguard was only on the slide pool during slides opening hours. Beach was awful, I love to go the beach but this one really put you off. It’s in a bay so it was no current so water was dirty, warm and smelly. 1m from the entry you could not reach the bottom (even my son who is 6ft2) and water was dark so you could not see the bottom. Also they were wasps nest around the beach. Entertainment in4.8 bar was poor, mainly targeted for Turkish guests. They play international songs mainly in Turkish. Colombian dancers and South Africa band were good and we enjoyed the night. Food was boring, for 2 weeks the same thing. If you love sea food you will not get any there. Apart of fish you will not get anything else. A la carte restaurant on site is divided to 3 - Italian, Turkish and Sea food (again no sea food there ), we tried Turkish and it was set menu so you can’t really choose nothing and meat taste of petrol. We tried Turkish bath in the hotel and is nothing like proper Turkish bath we had before. Massage otherwise are amazing, the girls making miracles there. Hotel is in the middle of nowhere so the closest place to go is Bodrum 30 min in taxi. You can’t go out for a walks even around the beach. Gym is old and dirty, not much to choose from there. Pros - bar staff is amazing, they are making your holiday special. Big thank you to Fuat from the pool bar, great barman and his cocktails are amazing. Also Oscan from reception bar, Wasyl from the 24/7 bar and the waitresses from the 4.8 bar were amazing - food and alcohol available 24/7 - boat trim with Jimmy ( nice, good food and amazing Turkish coffee) - massage in spa Overall definitely not 5*(max3) and probably would not be so disappointed if it was sold as 3*. Would",4.0,"Posted August 31, 2023",,Stayed in August 2023,,,Family,
Green Bay Resort & Spa,"I have been to Bodrum Twice before, I find the Turkish people to be the most friendly and helpful and welcoming. From leaving the airport and arriving at the hotel (Yellow Taxi, excellent service). When we arrived at the hotel (Clean and well presented and knowledgeable staff) we were made to feel at ease. The room was clean and the bathroom was fully functional and also very clean, as we had arrived at half past midnight, my wife and I wanted a snack before we settled for the night and get some sleep, they had a place that we could order some food freshly made and eat almost all night, so no chance of getting hungry. The next morning my wife and I had a superb selection of breakfast dishes and was spoiled my very helpful staff. We walked around the hotel and loved the piece and quite of the hotel as there were not hotels either side of this one. My wife and I have back problems and found the bed to be on the hard side, we spoke with the staff at the desk and within in an hour they had put a mattress topper to make the be softer (unfortunately it was still too hard). The rooms were cleaned and our towels were changed when we needed them to be. The evening entertainment was enjoyable especially the fire act. Would I recommend this hotel? The answer is an over willming yes, there were a few things that could be improved but they are so minor that it did not affect our stay, after our two weeks were finished, we wanted to stay longer because we were made to feel at home. Thank you for a wonderful and memorable stay.",10.0,"Posted March 1, 2024",,Stayed in March 2024,,,,
Green Bay Resort & Spa,"Stay at crystal Green Bay hotel for 7 days. The hotel is fantastic, in a beautiful location and the staff couldn’t help enough. The entertainment team “Ismail” were great. I would highly recommend this place. Relaxed, entertainment and nothing bad about the place, location or staff.",10.0,"Posted March 1, 2024",,Stayed in March 2024,,,,
